id,names,grapeType,regionIds,body,tannin,acidity,sweetness,abv,finish,colour,primaryAroma,secondaryTertiary,styleRange,confusedWith,confusedWithNote,globalPrevalence,foodPairing,body_confidence,tannin_confidence,acidity_confidence,sweetness_confidence,abv_confidence,finish_confidence,colour_confidence,primaryAroma_confidence,secondaryTertiary_confidence,styleRange_confidence,confusedWithNote_confidence,globalPrevalence_confidence,foodPairing_confidence
cabernet-franc,Cabernet Franc,red,chinon,"Medium, ranging light (cool-climate Loire, e.g. Chinon) to full (warm-climate/Bordeaux Right Bank examples)","Medium, but consistently described as lower/softer/silkier than Cabernet Sauvignon’s","Medium to high — one of the more acid-forward major reds, a genuinely distinguishing trait relative to its own offspring",Dry (vast majority); a genuine minority of late-harvest and ice-wine styles exist,11.5–13.6%,"Medium; can age 10–20+ years for top Bordeaux blends or serious single-vineyard Chinon/Bourgueil, though most everyday examples drink young (2–7 years)","Deep purple young, shifting to garnet with age; generally paler than Cabernet Sauvignon","Raspberry, red plum, sour cherry, red cherry; a distinctive and very consistently reported green/bell pepper note, more pronounced than in its own child, Cabernet Sauvignon","Tobacco, cedar, dried herb, graphite with age; a jalapeño/roasted-pepper/wet-gravel descriptor set specific to Chinon in particular","Real, climate-driven: cool-climate Loire (Chinon, Bourgueil, Saumur-Champigny) shows the classic lighter, herbal, red-fruit profile; warmer expressions (parts of Italy, California) show riper dark fruit and a less ""green"" pepper note, closer in shape to warm-climate Cabernet Sauvignon","cabernet-sauvignon, merlot","Cabernet Sauvignon — softer/rounder tannin, more pronounced green pepper, generally lighter body and paler colour. Merlot — a real, documented historical confusion: plantings of Cabernet Franc were literally mistaken for Merlot in vineyards during the early-to-mid 20th century","A genuine spread across sources: ~42,500 ha (older baseline) to ~55,000–56,000 ha (more recent figures). Per the conservative-rounding convention, the smaller of the two recent figures is used: ~55,000 hectares","Complement — acidity and moderate tannin pair well with roasted poultry, grilled vegetables, and lighter cuts of red meat; more versatile at the table than either of its higher-tannin offspring",green,green,green,yellow,green,green,green,green,green,green,green,yellow,green
chenin-blanc,Chenin Blanc,white,stellenbosch,"Medium — ""like Riesling’s acidity meets Chardonnay’s body and texture""",None (white grape),"Very high, the grape’s structural backbone across every style from bone-dry to lusciously sweet","A genuine dry-to-sweet range comparable in shape to Riesling’s: bone-dry (Savennières, most South African ""Steen"") through off-dry (Vouvray demi-sec) to intensely sweet, botrytis-affected dessert styles (Quarts de Chaume, Coteaux du Layon)",12–14.5%,"Long — high acidity gives genuine aging potential across decades, in both dry and sweet styles",Pale straw to medium gold depending on style and age,"Green apple, quince, pear, citrus in drier/cooler styles; peach, ginger, tropical notes in riper/sweeter styles; floral notes throughout",Honey and a distinctive lanolin/wool-like note; botrytis-affected sweet styles add concentrated dried-fruit and honeyed complexity,"The second ""genuinely comparable style range to Riesling"" case in this file. Unlike Riesling’s range (climate/harvest-timing-driven within two anchor regions), Chenin’s spreads across many named styles within its two homelands (Loire’s Savennières/Vouvray/Quarts de Chaume vs. South Africa’s more fruit-forward, sometimes oak-aged ""Steen"") rather than a clean two-region split",riesling,"Riesling — already established from the opposite direction. The tell: Chenin carries the waxy/lanolin note and generally shows more phenolic texture/weight; Riesling’s own signature (especially with age) is the petrol/TDN note, and it typically shows the highest extract of the two","31,200 hectares planted worldwide (2023, Observatoire mondial du Chenin — a dedicated global monitoring body for this grape). South Africa holds roughly half of that global total (sources converge 50–55%; the smaller, 50% figure is used), ahead of France’s own ~30% share","Flexible by style, similar to Chardonnay — dry styles work by contrast (shellfish, goat cheese, salads), off-dry and sweet styles complement spicier or richer dishes where sweetness balances heat or fat",green,green,green,green,green,green,yellow,green,green,green,green,green,green
pinot-gris-grigio,Pinot Gris / Pinot Grigio,white,alsace,"The most unanimously-reported same-grape style split in this file — every source checked frames it identically. Pinot Gris (Alsace): fuller-bodied, richer, lush mouthfeel. Pinot Grigio (Italy): light-to-light-medium body, crisp",None (white grape),"Medium (Pinot Gris, Alsace) to medium-high (Pinot Grigio, Italy) — the inverse of the body split: the lighter-bodied Italian style carries the higher relative acidity","Pinot Grigio (Italy): always dry. Pinot Gris (Alsace): dry to medium-sweet, a real range that doesn’t exist in the Italian identity","11.5–13.5%, both identities within a similar range","Medium (Pinot Grigio, clean/refreshing) to medium-long (Pinot Gris, more textured)","Pale straw-green (Pinot Grigio) to deeper gold (Pinot Gris) — the grape’s own skin is genuinely pink-gray, and can even be used to make rosé","Lemon, lime, green apple, white peach (Pinot Grigio, Italy — brighter/citrus-led) vs. pear, peach, honey, sometimes tropical fruit and a touch of spice (Pinot Gris, Alsace — riper/richer)","Pinot Grigio: minimal, typically unoaked, stainless-steel-fermented. Pinot Gris: can show smokiness and spice with age, richer texture, occasional barrel aging in top examples","The defining fact of this entry — a colour mutation of Pinot Noir (not a cross, unlike Chardonnay). Pinot Blanc is, in turn, a further mutation of Pinot Gris per one direct source",sauvignon-blanc,"Sauvignon Blanc — a genuinely rich, well-documented pairing (six independent dedicated comparison articles found). The tell: Sauvignon Blanc carries the herbaceous/green methoxypyrazine character (cut grass, bell pepper, gooseberry) Pinot Grigio/Gris lacks, and Sauvignon Blanc’s acidity runs sharper and more assertive","Italy alone holds roughly 18,000–19,000 hectares (two sources converge closely: 18,821 and ""18,000–19,000""), the world’s largest single-country producer. No exact global total found comparable in rigor to the Italian figure","Contrast (Pinot Grigio’s crisp acidity with light dishes — salads, seafood, grilled vegetables) to complement (Pinot Gris’s fuller body and riper fruit with roasted poultry, pork, creamy sauces, spiced Asian cuisine)",green,green,green,green,green,yellow,green,green,green,green,green,yellow,green
gewurztraminer,Gewürztraminer,white,alsace,"Medium to full, occasionally approaching viscous in richer examples",None (white grape),"Low to medium — the defining structural trait of this entry, genuinely the lowest acidity of any white grape researched in this file","Off-dry is the most commonly reported default style, though genuine dry examples exist (particularly Alto Adige/Italy), and sweet late-harvest/botrytis styles (Vendanges Tardives, Sélection de Grains Nobles) exist at the other end","11–15%, a genuinely wide but well-sourced range; dry Alsace examples typically run 13–14.5%, late-harvest/SGN styles higher still","Medium to long, particularly in the fuller, richer style","Deep golden yellow, sometimes with copper or pink highlights — a genuine fast recognition cue, tied to the grape’s own pink-red skin","Lychee is this grape’s single most famous marker, intense enough to identify the wine in a blind tasting from this aroma alone. Rose petal, orange blossom, grapefruit, pineapple, peach, apricot, ginger and other baking-spice notes","Genuinely well-documented aroma chemistry: cis-rose oxide (primary driver, highest odor-activity value among compounds shared with actual lychee fruit), linalool (rose/floral), and geraniol (additional rose/citrus). Botrytis-affected sweet styles add ginger, smoke, incense-like notes","Spans dry (increasingly the norm in Alto Adige, some Alsace producers) through the traditional off-dry default to intensely sweet late-harvest/noble-rot styles — but the grape’s low acidity means even the driest examples can read as subjectively ""sweeter"" than they measure",muscat-blanc-a-petits-grains,"Muscat — both aromatic, both range dry to sweet, both pair with similar cuisines, but Muscat is consistently lighter, more delicate, more fruity/orange-blossom-driven, while Gewürztraminer carries fuller body and a spice-driven profile. Separately, green-skinned Traminer (the non-mutated ancestor) is sometimes mistaken for Gewürztraminer but shows a distinctly less aromatic profile — a naming/lineage confusion, not a genuine taste-alike","France (Anderson & Nelgen 2020 academic dataset): 3,320 hectares — used as primary over rounder ~2,800–3,000 ha estimates. Global total, same source: more than 10,000 hectares across the ""old world,"" roughly 2,300 in the ""new"" — ~12,300+ hectares total, conservatively stated as the lower end of what the source frames as ""more than 10,000""","Complement, classically — lush fruit and spice character is the textbook pairing for spicy Asian cuisine and rich, aromatic dishes, since low acidity means it doesn’t cut through richness by contrast",green,green,green,green,green,yellow,green,green,green,green,green,green,green
grenache-garnacha,Grenache / Garnacha,red,"cotes-du-rhone, priorat",Medium to full,"Low, soft, ""velvety"" — directly tied to the grape’s thin skin, one of the most consistently low-tannin major reds researched","A genuine, honest spread across sources — several call it ""low,"" several ""medium,"" one hands-on blind-tasting source specifically describes ""medium upper end acidity."" Reported as low-to-medium rather than picking one side","Predominantly dry, though sweet and semi-sweet styles exist","13.5–16%, several sources noting ""often over 15%"" — one of the highest ABV ranges of any grape researched in this file",Medium to medium-plus,"Pale ruby, notably lighter than most other major reds researched — directly tied to the same thin skin responsible for its low tannin","Strawberry, red cherry, raspberry, black cherry","White/black pepper and dried herb (thyme, rosemary) are the most consistently reported secondary markers. One source: ""the unmistakable candied fruit roll-up and cinnamon flavor is what gives Grenache away to expert blind tasters."" With oak or age: leather, tobacco, citrus rind","Climate-driven: Old World examples (Priorat, Châteauneuf-du-Pape) tend more structured and complex with age; New World examples taste riper and more fruit-forward. The traditional ""Old World = higher ABV, New World = lower ABV"" framing is noted by one source as increasingly unreliable as climates shift","pinot-noir, sangiovese","Confirms, from the red side, the Tim Gaiser MS ""Evil Dwarves"" cluster (Pinot Noir, Gamay, Sangiovese, Tempranillo, Grenache, Nebbiolo). No single specific distinguishing tell for a Grenache/Pinot-Noir-or-Sangiovese pairing was independently sourced beyond cluster membership itself — a real, flagged gap rather than an invented tell","A genuine decline over time, not source disagreement — from 216,000 ha (twenty years ago) to ~150,000 ha (current), fallen from the world’s most-planted red to 5th among reds. Other sources cite the OIV 2017 Focus figure (163,000 ha, still the more commonly repeated baseline) or Anderson/Adelaide (195,896 ha, 2021). The smaller, most recent, trend-explained figure (~150,000 ha) is used","Complement — soft tannin, high alcohol, dried-herb/pepper character pair well with rich braises and stews (cassoulet, ossobuco) where the wine’s fruit tempers the dish’s heaviness",green,green,yellow,yellow,green,yellow,green,green,green,yellow,yellow,yellow,green
primitivo-zinfandel,Primitivo / Zinfandel,red,"puglia, lodi",Full to very full,"Firm to moderate — Puglia/Primitivo trends firmer and grippier; California/Zinfandel trends softer and more ""round and generous""",Moderate,"Predominantly dry (the once-popular White Zinfandel style is a real, well-known sweet rosé exception)","13.5–16%, tied to the grape’s uneven within-cluster ripening (some berries raisin while others stay underripe), concentrating sugar and driving high alcohol",Medium to long,Deep violet/purple,"Black cherry, blackberry, dried fig, plum, blueberry compote","Black pepper, cinnamon, clove, chocolate, vanilla (especially in California/barrique-aged examples); with age: tobacco, leather, dried fruit","The most rigorously DNA-confirmed same-grape-two-names case researched — UC Davis geneticist Carole Meredith’s 1994 analysis proved identical DNA, later traced (2001) to a near-extinct Croatian variety, Crljenak Kaštelanski/Tribidrag. Puglia/Primitivo trends structured, savory, dry-finishing, higher acid-presenting; California/Zinfandel trends jammier, sweeter-tasting, softer, more oak-forward",,"Answered by the lineage itself rather than a separate taste-alike grape — Primitivo, Zinfandel, Tribidrag, and Crljenak Kaštelanski are one variety under four names across three countries. No additional distinct-grape confusable was independently sourced or needed","USA (mostly California/Lodi, ~40% of the state’s Zinfandel crop) holds ~18,551 hectares; Italy (mostly Puglia, ~90% of world Primitivo) holds ~13,896 hectares — a combined ~32,400 hectares across the two dominant countries. A separate source’s ""over 40,000 hectares"" claim for a narrower California-region set didn’t reconcile cleanly; the smaller, more internally consistent figure is used","Complement — high alcohol and ripe fruit pair with smoky, barbecued, or richly sauced meats; the textbook pairing for American BBQ (Zinfandel) and Italian rustic/grilled dishes (Primitivo)",green,green,green,green,green,yellow,green,green,green,green,green,yellow,green
carmenere,Carménère,red,maipo,Medium to full,"Medium to firm, but very consistently described as softer and silkier than Cabernet Sauvignon’s — the same tannin-texture pattern already established for Merlot and Cabernet Franc, its two half-siblings",Medium to medium-high,Dry,13–15%,"Medium; most sources note it is not typically built for long aging (2–3 years is a commonly cited drinking window), a real contrast to Cabernet Sauvignon’s aging reputation",Deep purple-red,"Black cherry, blackberry, raspberry, plum, cassis, alongside a very consistently reported green bell pepper/green pepper note","Chocolate, vanilla, smoke with oak aging; with age: leather, earth. Maipo Valley examples in particular can show a distinctive floral (cherry blossom, hibiscus, rose) and mineral (petrichor, granite-like) character at higher elevations","Real but narrower than several other entries — predominantly a warm-climate, ripe, approachable style, without the pronounced regional-identity split seen in Malbec, Syrah/Shiraz, or Primitivo/Zinfandel, since the overwhelming majority of production is concentrated in one country (Chile)","merlot, cabernet-franc, cabernet-sauvignon","Merlot — a genuinely stronger, more consequential case than a typical taste-alike pairing: in 1994, DNA analysis revealed most of what had been sold and planted as ""Chilean Merlot"" was in fact misidentified Carménère, a real, documented, systematic misidentification confirmed by genetic testing. Also directly confirmed as a half-sibling of both Cabernet Sauvignon and Merlot, with Cabernet Franc as its shared parent — Wine Folly groups Carménère, Cabernet Franc, and Cabernet Sauvignon together as all showing pyrazine-driven green pepper character",Approximately 95% of world Carménère is grown in Chile; a specific global hectare total comparable in rigor to other entries was not independently located,"Complement — moderate tannin and green pepper/herbal character pair with grilled meats and herb-forward sauces (chimichurri, mint, parsley pesto)",green,green,green,green,green,yellow,green,green,green,green,green,yellow,green
pinotage,Pinotage,red,stellenbosch,Full,"Medium to high — a real, counterintuitive genetics point: both parent grapes (Pinot Noir, Cinsault) are documented as low in colour and tannin, yet Pinotage itself is unusually high in both, ""nothing like its progenitors""",Moderate to medium-high,Dry,13–15%,"Medium to long in well-made, quality examples; aging potential has improved significantly as winemaking technique has advanced","Deep ruby-purple, very deeply coloured — inherited from neither low-colour parent, consistent with the tannin/colour paradox","Red and dark cherry, mulberry, blackberry, plum, black currant","Smoke, dark chocolate, coffee, tobacco, leather, truffle with age. A specific, honestly-reported caveat: a ""burnt rubber"" or ""nail polish remover"" (acetone) off-note was historically common in poorly-made examples, tied to fermentation technique rather than an inherent grape trait — top producers have largely eliminated it, but it remains a genuinely useful marker for recognizing a flawed bottle","Climate-driven: warmer regions (Paarl, Swartland) produce riper, fuller-bodied, softer-tannined examples; cooler pockets (higher-elevation Stellenbosch, Breedekloof) produce brighter acidity and more lifted red fruit, with one source noting a resemblance to cool-climate Syrah or even Gamay",,"This entry inverts the usual pattern — the ""confusion"" is about the name, not the taste. Multiple sources directly warn the name invites a false assumption of tasting like Pinot Noir (""It is easy to assume they taste alike. Not true"" — Wine Folly, stated directly), when the flavor profile bears little resemblance to either parent grape","6,585.21 hectares in South Africa per SAWIS (South African Wine Industry Information & Systems), cross-confirmed identically across three independent sources including WSET’s own educational blog — ""nearly all global plantings,"" roughly 6–7% of South Africa’s total vineyard area","Complement — smoky, tannic structure pairs with roasted or smoked meats and BBQ; the Cinsault-derived heritage also gives it particular compatibility with Mediterranean vegetables (peppers, aubergine)",green,green,green,green,green,green,green,green,green,green,green,green,green
mourvedre,Mourvèdre / Monastrell,red,cotes-du-rhone,Full,"High — consistently and specifically described as ""thick-skinned,"" ""grippy,"" ""tight,"" tied directly to the grape’s genuinely thick skin",Medium to medium-high,Dry,12–15%,"Long — the grape’s dense tannin structure requires genuine bottle age to soften, giving well-made examples real aging potential","Deep, opaque purple — one of the most deeply coloured grapes researched, tied to its thick skin","Blackberry, blueberry, black plum, black currant","Black pepper, violet, rose, smoke, gravel — and a genuinely distinctive ""meaty"" or ""gamey"" aroma when young, specifically flagged as something that ""can be mistaken for wine faults"" but is a genuine varietal trait rather than always a flaw. With age: truffle, leather, dried fruit","Real, climate and region-driven: Southern France (Bandol especially, where the grape is ""king"") produces the most structured, savory, herb-inflected style; Spain (as Monastrell, its dominant regional name there) produces powerful, full expressions; US examples (California, Washington) trend less tannic and more spice/game-forward",,"Answered by a same-grape-multiple-name situation rather than a taste-alike pairing — Mourvèdre (the dominant international name), Monastrell (Spain), and Mataró are the same grape. ""Mourvèdre"" is overwhelmingly the more commonly used name in English-language wine writing. No additional distinct-grape taste-confusable was independently sourced","Less than 190,000 acres worldwide (approximately 77,000 hectares), with Spain holding the large majority at over 150,000 acres (approximately 61,000+ hectares)","Complement — high tannin and umami-forward gamey character pair with rich, fatty, umami-heavy foods (beef short ribs, pork shoulder, mushroom dishes)",green,green,green,green,green,green,green,green,green,green,yellow,green,green
barbera,Barbera,red,asti,"Light to medium, with fuller expressions from some regions outside Piedmont’s classic zones (Oltrepò Pavese noted specifically) — a real, honestly-reported spread","Low — the single most consistently and emphatically reported trait of this entry, described across virtually every source as ""soft,"" ""gentle,"" ""smooth,"" ""light""","Very high — ""crackling,"" ""juicy,"" ""zippy,"" ""mouth-watering."" One source calls this combination of high acid and low tannin ""the giveaway"" for identifying the grape",Dry,"11.5–14%, with specific regulatory minimums (Barbera d’Asti: 11.5% minimum; Barbera d’Asti Superiore: 12.5% minimum)",Short to medium in everyday styles; longer in oak-aged Superiore-level examples,"Deep ruby, near-black — a genuine colour-vs-structure paradox: the near-black colour comes from dark staining pigments in the skin, independent of the light-bodied, low-tannin structure the wine actually shows on the palate","Dark cherry, sour cherry, strawberry, plum, blackberry","Violet, lavender, dried leaves, incense, anise with age or in more serious expressions; vanilla, nutmeg, toast, cocoa from oak, common in Superiore-level and Barbera d’Alba examples","Real and two-tiered by regulation: everyday, fresh, unoaked Barbera d’Asti versus oak-aged, longer-macerated Barbera d’Asti Superiore and the more structured Barbera d’Alba. Documented since the 13th century — ""almost 1000 years older than Cabernet Sauvignon"" per one direct comparison",,"Dolcetto (not a full entry here) — a well-documented regional-confusable pairing. The tell is structural: Barbera is high-acid/low-tannin; Dolcetto is directly stated as low-acid, its defining trait, with firmer tannin than Barbera despite its ""sweet"" name (which references low acidity, not sugar). Explicitly confirmed as NOT genetically related to Nebbiolo, Dolcetto, Freisa, or Grignolino despite all being grown in the same region","Approximately 13,908 hectares in Piedmont specifically (~30% of the region’s total vineyard area), Italy’s third most-planted grape (after Sangiovese and Montepulciano) at the turn of the 21st century. A second source’s larger figure (~50,000 ha) didn’t reconcile cleanly; the smaller, more specifically-sourced figure is used","Complement to contrast, genuinely flexible — high acidity cuts through fatty and creamy dishes while low tannin and juicy fruit make it broadly food-compatible; one of the most food-versatile reds in Italian wine",yellow,green,green,green,green,yellow,green,green,green,green,green,yellow,green
zweigelt,Zweigelt,red,burgenland,"Light to medium, with a real climate-driven spread toward fuller/riper in warmer sites and lower-yield examples","Low — very consistently described as ""soft,"" ""plush,"" ""faint,"" ""melted""; one direct comparison to Gamay names this exact trait as a shared feature","Medium to high — ""bright,"" ""zippy,"" ""tart,"" a defining structural trait alongside its low tannin",Dry (overwhelming majority); a real minority rosé style exists,"12–13.5% — the grape tends to ripen to a natural ceiling around 13.5% regardless of how much longer it hangs, unlike grapes whose ABV keeps climbing the longer they’re left on the vine","Short to medium in everyday/fruity styles; longer in more serious, lower-yield, sometimes oak-aged examples",Deep ruby to purplish-red,"Cherry (specifically morello/black cherry in riper examples), raspberry, cassis, red and dark berry fruit","Black pepper is the most consistently reported secondary marker; more serious examples add earthy, mineral, tobacco, bay-leaf notes; light oak spice in barrique-aged styles","Real and two-directional: light, fresh, fruit-forward ""picnic-table"" styles (the more common expression) versus more serious, structured, sometimes oak-aged, age-worthy examples from restricted yields",pinot-noir,"Gamay (not a full entry here) — both light-to-medium-bodied, soft-tannined, high-acid reds with a similar bright red-fruit profile, one source drawing the comparison in specific matching detail. Separately, Wine Folly directly describes Zweigelt’s style as evoking Pinot Noir — a real, sourced comparison, and a nice indirect connection back to Pinot Noir’s own confused-with pairing (also Gamay)","A well-converged cluster of figures (5,940 to 6,585 hectares). The Austrian Wine industry body’s own 2023/24 statistics report gives 5,940 hectares, 13.4% of Austria’s total vineyard area — Austria’s own most-planted red grape and second-most-planted grape overall (after Grüner Veltliner). Per the conservative-rounding convention, this smaller, most recent, most authoritative figure is used","Complement — soft tannin, bright acidity, and light body make it a genuinely versatile, food-friendly red; suits barbecue, grilled sausage, and casual summer fare",green,green,green,green,green,green,green,green,green,green,green,green,green
pinot-meunier,Pinot Meunier,sparkling,champagne,Light to medium,"Low — consistently described as ""fine,"" ""restrained,"" ""supple""; several sources directly compare it as even softer than Pinot Noir’s own low tannin","Medium-high to high — consistently and specifically reported as higher than Pinot Noir’s own acidity, a real, repeated comparative fact","Dry (all still and sparkling styles); any perceived sweetness in Champagne comes from dosage decisions in production, not the grape itself",10–11.5% — the lowest ABV range of any grape researched across all five tranches,"Short to medium; most sources note limited aging potential relative to Pinot Noir or Chardonnay, exactly why it’s typically blended rather than bottled as a 100% varietal Champagne",Lighter than Pinot Noir,"Tart cherry, pomegranate, raspberry, blueberry, strawberry, rose petal","Mushroom and earthy notes appear but consistently less pronounced than in Pinot Noir itself; a distinctive rustic, sometimes smoky character and floral spice notes are more characteristic of Meunier specifically","A real viticultural role rather than a stylistic range: buds later and ripens earlier than Pinot Noir, giving better frost and cold-weather resistance, why it dominates the colder, north-facing sites of the Marne Valley that Pinot Noir and Chardonnay struggle to ripen consistently. A small but real minority of still red and rosé wines exist outside the blending role, and single-varietal Meunier Champagnes have grown in number recently",,"Gamay (not a full entry here) — a genuinely satisfying closing connection to Pinot Noir’s own lineage: two independent sources directly compare Pinot Meunier to Gamay (""more quaffable Pinot Noir... more similar to Gamay""), the same grape already established as Pinot Noir’s own confused-with pairing — two different members of the same lineage independently converging on the same comparison","France holds approximately 80% of world Pinot Meunier plantings, at 12,130 hectares (2016 figure, cross-confirmed identically across four independent sources); within Champagne specifically, roughly 30–40% of the region’s own plantings","Complement — low tannin and bright fruit suit roast poultry, mushroom dishes, and creamy sauces, similar in shape to Pinot Noir’s own food-pairing profile, reflecting the shared lineage",green,green,green,green,green,green,green,green,green,green,green,green,green
glera,Glera,sparkling,valdobbiadene,Light to medium,None (white grape),"High — described consistently and vividly as ""vibrant,"" ""bright,"" a genuinely defining structural trait","Dry to off-dry, with a genuinely useful labeling correction: the DOC-regulated ""Extra Dry"" category is, confusingly, not the driest style — it is actually off-dry, sitting between the drier ""Brut"" and the sweeter ""Dry""/""Demi-Sec"" categories","8.5–12.5% — 8.5% is the DOC-mandated minimum permitted ABV for Prosecco, among the lowest floors of any grape researched in this file","Short to medium; most Glera wines are made for immediate, youthful consumption, not extended aging","Straw yellow, pale","Green apple, pear, white peach, with floral notes (honeysuckle, acacia blossom, elderflower); at higher-altitude, lower-yield sites, a genuine mineral/saline finish can develop","Minimal by design — a deliberately neutral-flavored grape; the Charmat/Martinotti tank-fermentation method used for virtually all Prosecco is specifically chosen because it preserves this fresh, fruit-forward primary character rather than adding the yeasty/bready secondary notes traditional bottle-fermentation would","Real but narrower than several other entries — virtually all production is sparkling (spumante) or semi-sparkling (frizzante), with only a small minority of still (tranquillo) wines under IGT designations. The DOC/DOCG hierarchy provides the real quality range: Prosecco DOC (large-volume, flatland) versus Conegliano Valdobbiadene DOCG (steep hillside terraces, controlled yields, genuine depth and minerality)",,"Answered by a genuine, consequential naming/legal confusion rather than a taste-alike pairing with a different grape. In 2009, the EU officially renamed the grape variety from ""Prosecco"" to ""Glera,"" specifically to protect ""Prosecco"" as a geographic designation of origin rather than a grape name any producer anywhere could use. ""Glera"" is now the correct varietal name within Italy and the EU; some New World producers, not bound by the same rules, continue using ""Prosecco"" as if it were a grape name","The Prosecco DOC growing zone is most consistently reported at approximately 28,100 hectares (converging closely with a rounder ~30,000 figure elsewhere); one outlier source’s claim of ""exceeding 41,000 hectares nationwide"" was not corroborated and reads as either a different measure or an overstatement — the smaller, more consistently-corroborated figure is used","Contrast — high acidity and effervescence are the textbook match for salty, fried, or briny foods (seafood antipasti, fritto misto, prosciutto), cutting through richness rather than mirroring it",green,green,green,green,green,green,green,green,green,green,green,yellow,green
muscat-blanc-a-petits-grains,Muscat Blanc à Petits Grains,white,asti,Light to medium-plus; sweeter and fortified styles can become fuller,None (white grape),"Medium to good — honestly and consistently reported as not particularly high relative to other aromatic whites in this file, balanced instead by real sugar/flavor concentration when yields are controlled","The widest style range of any grape researched across all five tranches — genuinely spans dry, off-dry, sweet sparkling (Moscato d’Asti), and fortified/vin doux naturel, a still-to-sparkling-to-fortified range as well as a sweetness axis","5–15%+ — the widest ABV range of any grape in this file, from Moscato d’Asti’s legally-capped 5.5% maximum at the low end to standard dry-table-wine and fortified-wine ranges at the high end","Short in sweet sparkling styles (built for immediate, fresh drinking); longer in serious dry or fortified examples",Pale lemon in dry/sparkling styles; deep amber in fortified examples,"The single most distinctive, most-repeated defining trait of this entire tranche: multiple independent sources directly state this grape is ""almost the only grape whose wine actually smells and tastes like grapes."" Beyond the grapey core: rose petal, orange blossom, jasmine, peach, citrus, and a musky, slightly animal-like note in some expressions","Genuinely well-documented aroma chemistry: the signature perfume is driven by linalool and geraniol — the same two compounds central to Gewürztraminer’s own aroma — plus nerol and citronellol. Fortified/aged styles add honey, nutmeg, and oxidative spice notes","The widest range in this file, spanning production method (still, sparkling, fortified) as well as sweetness — see Sweetness above",gewurztraminer,"Directly checked against, and confirming, Gewürztraminer’s own forward reference: ""lighter, more delicate, and more fruity/orange-blossom-driven"" by comparison to Gewürztraminer’s fuller body and spice-driven profile. No additional distinct-grape confusable was independently sourced beyond this comparison","A genuine scope ambiguity, reported honestly rather than resolved by picking one number. France’s own figure converges around approximately 7,000–7,540 hectares. A commonly-cited ""~45,000 hectares globally"" figure exists but is explicitly caveated by its own source as covering ""all Muscat à Petits Grains types,"" potentially including genetically distinct family members (Muscat of Alexandria, Muscat Ottonel, colour mutations), not cleanly isolable to this specific variety. Spain’s own figure for ""Moscatel de Grano Menudo"" is 21,902 hectares (2015). Honest position: France ~7,000+ ha, Spain ~21,900 ha, with a genuinely uncertain broader-family global total",Contrast to complement depending on style — dry versions pair by contrast with savory dishes; sweet sparkling and fortified versions classically complement fruit-based desserts and pair well with spiced dishes,green,green,green,green,green,yellow,green,green,green,green,green,yellow,green
ugni-blanc-trebbiano,Ugni Blanc / Trebbiano,white,"cognac, tuscany-white",Light to medium,None (white grape),Very high — the single most consistently and emphatically reported defining trait of this grape across every source checked,Dry,"Genuinely bimodal by end use: 8–9% ABV specifically for Cognac base wine (deliberately low, since alcohol is built up through distillation, not fermentation), versus a more standard table-wine range for still Trebbiano wines made to be drunk as wine rather than distilled","Short to medium; wines are made for immediate freshness, not extended aging, on either side of the France/Italy naming split",Pale yellow,"Apple, citrus, lemon, grapefruit, subtle tropical notes, with herbal undertones in cooler-climate examples","Minimal by design — the single defining fact of the entry: a deliberately, famously neutral flavor profile, prized specifically because it is neutral, so it doesn’t compete with what’s built on top of it (a blend’s other components in Italy; the spirit’s own developing character through Cognac’s extended oak aging in France)","Genuinely climate-driven: cooler climates preserve acidity and produce more restrained, herbal examples; warmer climates enhance fruit ripeness and body. The deeper structural range is really about end use — light blending/base-wine component (the overwhelming majority) versus, in a genuine minority of quality-focused Tuscan and Abruzzese examples, wines of real, serious depth",,"No taste-alike confusable was found, and that absence is itself worth stating directly rather than forcing a pairing — likely a direct consequence of the grape’s own defining neutrality. A grape whose entire character is the deliberate absence of a distinctive signature has little for another grape to be confused with; if anything, the ""confusion"" risk runs the other way — a taster is more likely to fail to identify it at all than to mistake it for something else","World total 111,000 hectares, ranking #10 globally among wine grape varieties (OIV Focus 2017, fetched directly from the report itself). France and Italy’s own national totals (approximately 90,000 ha and 55,000 ha respectively) are real national subtotals that, combined with smaller plantings in Portugal and elsewhere, sum to the OIV’s 111,000-hectare world total","Flexible, light-touch — high acidity and deliberate neutrality make it a genuinely unobtrusive food partner, working with salads, light seafood, and oily fish (sardines specifically named) without imposing its own character",green,green,green,green,green,green,green,green,green,green,green,green,green
